,agent,model,omega,beta,ll,group,ntrials,exp,prolificID
275,58c1ce3c3783090001b49355,perceptual,0.06839796900749212,6.283457279205322,96.96888130460493,combined,324,FullPilot13,58c1ce3c3783090001b49355
276,6699628702676370f9e96d92,map,0.3681640625,4.88372802734375,53.09563299276789,combined,288,FullPilot13,6699628702676370f9e96d92
277,6699628702676370f9e96d92,value,0.8418112687766552,12.864945903420448,75.6125610710668,combined,288,FullPilot13,6699628702676370f9e96d92
278,6699628702676370f9e96d92,perceptual,0.0575223670806736,17.74503156542778,85.69199068619149,combined,288,FullPilot13,6699628702676370f9e96d92
279,66d9e6817a3bfbc48269c66d,map,0.0988204956054688,0.61309814453125,96.56867574082641,value,291,FullPilot13,66d9e6817a3bfbc48269c66d
280,66d9e6817a3bfbc48269c66d,value,0.997670597396791,238.07366222143173,96.61621157396509,value,291,FullPilot13,66d9e6817a3bfbc48269c66d
281,66d9e6817a3bfbc48269c66d,perceptual,0.0003417968750000222,245.16948699951172,99.71771406251312,value,291,FullPilot13,66d9e6817a3bfbc48269c66d
282,5ecc6fb87c7c7646490f3cf8,map,0.11393769886344673,7.279457896947861,46.70943551820178,combined,287,FullPilot13,5ecc6fb87c7c7646490f3cf8
283,5ecc6fb87c7c7646490f3cf8,value,0.46670480743050574,10.014890134334564,53.26683110218889,combined,287,FullPilot13,5ecc6fb87c7c7646490f3cf8
284,5ecc6fb87c7c7646490f3cf8,perceptual,0.0014114752411842901,161.7627988755703,98.45583849514139,combined,287,FullPilot13,5ecc6fb87c7c7646490f3cf8
285,66ff98ad62f57f7204a560f7,map,0.01062431335449221,9.998397827148438,15.964649255532573,value,287,FullPilot13,66ff98ad62f57f7204a560f7
286,66ff98ad62f57f7204a560f7,value,0.767824900150299,42.617381513118744,15.979417793310965,value,287,FullPilot13,66ff98ad62f57f7204a560f7
287,66ff98ad62f57f7204a560f7,perceptual,0.0004173278808594083,301.34796142578125,99.62397516494553,value,287,FullPilot13,66ff98ad62f57f7204a560f7
288,66c7abc47de7196e9cac1014,map,0.11020101625472312,9.5943502523005,28.73085762550523,value,307,FullPilot13,66c7abc47de7196e9cac1014
289,66c7abc47de7196e9cac1014,value,0.6322354525327682,20.812335535883904,32.71488257453341,value,307,FullPilot13,66c7abc47de7196e9cac1014
