agent,model,original_model,ll,fitted_rl_temp,fitted_perceptual_temp,rl_temp,perceptual_temp
85,NormativeLogRatio,balanced,12.35897880084684,4.438274178315271,5.282633677266385,5.0,5.0
86,NormativeLogRatio,value neglect,25.42976236983879,0.0,30.0,1.0,10.0
87,NormativeLogRatio,perceptual neglect,6.264173157483425,9.249753586676174,0.32239327316330196,10.0,1.0
88,NormativeLogRatio,random,33.964211847437284,0.0,0.0,,
89,NormativeLogRatio,balanced,16.431124524528126,3.0045053442634444,3.4978158554887777,5.0,5.0
90,NormativeLogRatio,value neglect,10.364785179122702,0.8199708443740341,13.459571709260462,1.0,10.0
91,NormativeLogRatio,perceptual neglect,7.935573613775678,7.214018796244883,0.9063862618217211,10.0,1.0
92,NormativeLogRatio,random,33.963600679073785,0.019556888365707792,0.0,,
93,NormativeLogRatio,balanced,16.978410655436498,2.492715025097497,0.7094755222742303,5.0,5.0
94,NormativeLogRatio,value neglect,8.383281889616747,1.9875395288063658,11.821356674431074,1.0,10.0
95,NormativeLogRatio,perceptual neglect,2.4663256384814356,19.553720823093023,14.963997936697268,10.0,1.0
96,NormativeLogRatio,random,33.1611864157324,0.43442606102711373,0.23005391581935566,,
97,NormativeLogRatio,balanced,13.228419616441515,4.351236857112855,5.137656376548177,5.0,5.0
98,NormativeLogRatio,value neglect,3.0739993762761038,0.3191144782478737,30.0,1.0,10.0
99,NormativeLogRatio,perceptual neglect,14.5111651243174,5.089248273844986,0.0,10.0,1.0
100,NormativeLogRatio,random,33.96188240843659,0.025179330724450107,0.0,,
101,NormativeLogRatio,balanced,15.67233566267454,3.567767558501381,3.263421442386719,5.0,5.0
102,NormativeLogRatio,value neglect,19.451167021955047,0.6696310622120044,4.428234425454055,1.0,10.0
103,NormativeLogRatio,perceptual neglect,10.672021379331198,5.7857202578583315,0.8353188971776321,10.0,1.0
104,NormativeLogRatio,random,33.93066018666768,0.0,0.077962025748755,,
105,NormativeLogRatio,balanced,13.343322127699702,3.938019998804528,3.2109975450838717,5.0,5.0
