"prolificID","expName","session","t","pair","choice","outcome1","outcome2","choseLeft","op1IsLeft","moveTime","fireTime","leftCount","rightCount","ev1","ev2","p1","p2","m1","m2","name1","name2","destroyed","score","datetime"
"6543f7e306c0fc611aafc81d",,"2","26","12","2","5","5","0","1","565","715","0","1","3","4","0.55","0.88","0","0",,,"1","95","2024-02-07 15:45:18"
"6543f7e306c0fc611aafc81d",,"2","27","10","2","5","5","0","1","481","682","0","1","2","3","0.37","0.63","0","0",,,"1","100","2024-02-07 15:45:20"
"6543f7e306c0fc611aafc81d",,"2","28","13","2","5","5","0","1","1298","1515","0","1","3","3","0.55","0.63","0","0",,,"0","100","2024-02-07 15:45:23"
"6543f7e306c0fc611aafc81d",,"2","29","15","2","5","5","1","0","749","916","1","0","4","4","0.78","0.88","0","0",,,"1","105","2024-02-07 15:45:26"
"6543f7e306c0fc611aafc81d",,"2","30","0","2","5","5","1","0","549","749","1","0","1","4","0.12","0.88","0","0",,,"1","110","2024-02-07 15:45:28"
"6543f7e306c0fc611aafc81d",,"2","31","14","2","5","5","1","0","948","1082","1","0","3","4","0.63","0.78","0","0",,,"1","115","2024-02-07 15:45:30"
"6543f7e306c0fc611aafc81d",,"2","32","8","2","5","5","1","0","565","716","1","0","1","4","0.29","0.71","0","0",,,"1","120","2024-02-07 15:45:33"
"6543f7e306c0fc611aafc81d",,"2","33","11","2","5","5","0","1","749","898","0","1","2","2","0.37","0.45","0","0",,,"0","120","2024-02-07 15:45:35"
"6543f7e306c0fc611aafc81d",,"2","34","4","2","5","5","0","1","615","766","0","1","1","4","0.16","0.84","0","0",,,"1","125","2024-02-07 15:45:38"
"6543f7e306c0fc611aafc81d",,"2","35","6","2","5","5","0","1","665","783","0","1","1","2","0.22","0.37","0","0",,,"0","125","2024-02-07 15:45:40"
