agent,expName,model,0
66f7102d3196ce5e60b2c1bd,FullPilot12,independent,3
66f7102d3196ce5e60b2c1bd,FullPilot12,log-ratio,3
66f7102d3196ce5e60b2c1bd,FullPilot12,single,3
66f73913e3459a85f0574823,FullPilot13,independent,3
66f73913e3459a85f0574823,FullPilot13,log-ratio,3
66f73913e3459a85f0574823,FullPilot13,single,3
66fc60b6f59bcb7d6dba7d4f,FullPilot12,independent,3
66fc60b6f59bcb7d6dba7d4f,FullPilot12,log-ratio,3
66fc60b6f59bcb7d6dba7d4f,FullPilot12,single,3
66fd855cf4cfd7ee139e35fd,FullPilot13,independent,3
66fd855cf4cfd7ee139e35fd,FullPilot13,log-ratio,3
66fd855cf4cfd7ee139e35fd,FullPilot13,single,3
66feef40402fdd04d44aa7e0,FullPilot13,independent,3
66feef40402fdd04d44aa7e0,FullPilot13,log-ratio,3
66feef40402fdd04d44aa7e0,FullPilot13,single,3
66ff23b19b9e211878a17f7c,FullPilot13,independent,3
66ff23b19b9e211878a17f7c,FullPilot13,log-ratio,3
66ff23b19b9e211878a17f7c,FullPilot13,single,3
66ff78d78ef858fc026f7718,FullPilot13,independent,3
66ff78d78ef858fc026f7718,FullPilot13,log-ratio,3
66ff78d78ef858fc026f7718,FullPilot13,single,3
66ff98ad62f57f7204a560f7,FullPilot13,independent,3
66ff98ad62f57f7204a560f7,FullPilot13,log-ratio,3
66ff98ad62f57f7204a560f7,FullPilot13,single,3
66ffb576e0cde42ca9ea7fa7,FullPilot12,independent,3
66ffb576e0cde42ca9ea7fa7,FullPilot12,log-ratio,3
66ffb576e0cde42ca9ea7fa7,FullPilot12,single,3
67055efcc9d6595c24d60bb5,FullPilot14,independent,3
67055efcc9d6595c24d60bb5,FullPilot14,log-ratio,3
67055efcc9d6595c24d60bb5,FullPilot14,single,3
6707ab0e3c5ee9540950263a,FullPilot14,independent,3
6707ab0e3c5ee9540950263a,FullPilot14,log-ratio,3
6707ab0e3c5ee9540950263a,FullPilot14,single,3
671432260f5b80d8188b2fe1,FullPilot14,independent,3
671432260f5b80d8188b2fe1,FullPilot14,log-ratio,3
671432260f5b80d8188b2fe1,FullPilot14,single,3
67143d69d010fd19ac3a1e06,FullPilot14,independent,3
67143d69d010fd19ac3a1e06,FullPilot14,log-ratio,3
67143d69d010fd19ac3a1e06,FullPilot14,single,3
671813a64cc728d09ef7499d,FullPilot14,independent,3
671813a64cc728d09ef7499d,FullPilot14,log-ratio,3
671813a64cc728d09ef7499d,FullPilot14,single,3
6718b9bc107831749fa97950,FullPilot14,independent,3
6718b9bc107831749fa97950,FullPilot14,log-ratio,3
